,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,DF_ACE,AVR_DF,DF_PFS,DF_PSS,WIN,Break,H2H,DF_POINT,DF_RANK,PPM,complet,FATIGUE
3747,8308,32723,13222,4,2016-05-31 00:00:00,-0.3448539622,-1.1893382353,-0.0096734487,0.0030499394,-0.0180147059,-0.0172483399,0,48,-384,-0.0072218986,44.200714375,0
3748,4019,32621,13222,4,2016-05-31 00:00:00,2.5351150256,-0.7846153846,-0.1091215129,-0.1797369987,0.4307692308,0.3593914632,0,3,-60,0.1210330168,94.2620830706,0
3749,23331,13966,13222,4,2016-05-31 00:00:00,0.7387465285,-0.2111111111,0.03180294,0.0179554592,-0.0688888889,-0.0854504015,0,3,0,0.0120444641,6.8306886515,0
3750,15021,22430,13222,4,2016-05-31 00:00:00,-1.1071672179,-0.5758903819,0.0261001737,0.0097639396,0.0276923077,-0.0504497281,0,52,-403,-0.0458132161,75.5793887773,0
3751,34538,8812,13222,4,2016-05-31 00:00:00,-1.3568953777,-0.5772610688,-0.0562515471,-0.002554292,0.0314685315,0.127750297,0,4,20,0.0666461615,-1.1634820603,0
3752,9997,26143,13222,4,2016-05-31 00:00:00,0.3939900641,-0.6723190125,0.0601357192,0.0682329403,-0.1950549451,-0.0980915549,0,-1,19,-0.0154812504,-36.6197996245,0
3753,8662,13940,13222,4,2016-05-31 00:00:00,-1.1370798999,-0.6242767186,-0.0932910684,-0.0888463035,0.2700534759,0.1716545101,0,18,-243,0.0320864883,17.8947450906,0
3754,16996,1125,13222,4,2016-05-31 00:00:00,0.5570955414,-0.7389044586,-0.0106708507,-0.0087637734,0.0122292994,-0.0068864684,0,10,-34,0.0225697112,96.7260638793,0
3755,4025,2034,13223,4,2016-05-31 00:00:00,-2.5961538293,-0.3352528823,-0.0156887952,0.0379889139,-0.0505050505,-0.0426506576,0,-11,18,-0.0226980817,-100.1758175853,0
3756,28295,13944,13223,4,2016-05-31 00:00:00,-3.9418660731,-0.0507042254,0.0375008746,0.0879057973,-0.2492957746,-0.0781474785,0,-14,185,-0.0735513914,-158.9364301638,0
3757,18422,21973,13223,4,2016-05-31 00:00:00,2.9488636364,-1.4952651515,-0.0285299466,-0.0629202117,0.1875,-0.0149619819,0,7,-96,0.0563343623,105.8810425212,0
3758,18189,21105,13223,4,2016-05-31 00:00:00,0.1071428571,-2.0833333333,0.0192176871,-0.022790715,0.0476190476,-0.2247921391,0,0,0,-0.0485032909,-1.6766439909,0
3759,14410,11928,13223,4,2016-05-31 00:00:00,4.6741935484,1.673987218,0.0741943849,0.0511435698,-0.1387096774,0.0587561095,0,4,-10,-0.046082372,58.4988587488,0
3760,9493,42737,13223,4,2016-05-31 00:00:00,-0.6151217705,-1.2641696408,-0.0890784604,-0.1583730313,0.3803986711,0.1120852754,0,77,-482,0.1034186612,81.5674022075,0
3761,18250,19755,13223,4,2016-05-31 00:00:00,2.2212353879,-2.3964194373,-0.0519984922,-0.0966206059,0.273657289,-0.0167388025,0,4,-4,-0.0180839522,23.0878680054,0
3762,22979,30395,13223,4,2016-05-31 00:00:00,3.375,-2.0480769231,-0.1171805904,-0.1965240806,0.4519230769,-0.0862232853,0,6,-71,-0.0164867963,110.1359043734,0
3763,10363,23313,13223,4,2016-05-31 00:00:00,4.770980903,-0.0642857143,-0.0487425762,-0.0779482266,0.2,0.0720136586,0,59,-430,0.0076973238,180.7864715558,0
3764,25160,28773,13223,4,2016-05-31 00:00:00,1.9463414634,-4.3414634146,-0.0421821225,-0.0907009836,0.2276422764,0.0110921429,0,10,-50,0.012970477,76.009542678,0
